Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-01-10,ICICIBANK,EQ,258.7,260,261.9,258.3,260.7,260.2,260.18,13440037,3.49682E+14,91189,9692851,0.7212
2017-01-10,AXISBANK,EQ,452.75,455.5,456.05,424.4,447.8,447.35,446.88,9436151,4.21685E+14,93174,2962535,0.314
2017-01-10,HDFCBANK,EQ,1195.2,1196.2,1216.8,1195.3,1215.8,1214.35,1208.44,1386529,1.67553E+14,26856,743091,0.5359
2017-01-11,ICICIBANK,EQ,260.2,262.5,268.1,261.6,264.9,264.7,264.17,17786981,4.69887E+14,96690,10990010,0.6179
2017-01-11,AXISBANK,EQ,447.35,451.85,457.55,448.2,452.5,453.6,452.99,5678047,2.57211E+14,90411,2241633,0.3948
2017-01-11,HDFCBANK,EQ,1214.35,1217.5,1238.1,1215.5,1230.6,1234,1229.29,2335851,2.87145E+14,37280,1457613,0.624
2017-01-12,ICICIBANK,EQ,264.7,266.6,269.5,265.45,268.5,268.35,267.87,10646618,2.85191E+14,86316,5842645,0.5488
2017-01-12,AXISBANK,EQ,453.6,454.2,461.4,452.6,455.8,455.2,456.91,5106342,2.33315E+14,74165,2380973,0.4663
2017-01-12,HDFCBANK,EQ,1234,1235,1243.7,1225.5,1235,1235,1232.72,729079,8.98754E+13,16117,322314,0.4421
2017-01-13,AXISBANK,EQ,455.2,457,475.2,455.2,472,472.8,469.33,12693510,5.95741E+14,161048,6177412,0.4867
2017-01-13,ICICIBANK,EQ,268.35,270,270,264.8,267.6,268.05,267.54,7100341,1.89964E+14,62386,3723958,0.5245
2017-01-13,HDFCBANK,EQ,1235,1239,1239.7,1228.6,1234.85,1232.5,1230.97,962603,1.18494E+14,26665,641591,0.6665
2017-01-16,ICICIBANK,EQ,268.05,267.4,270.85,264.8,269.35,269.3,268.26,8057888,2.1616E+14,63343,3821155,0.4742
2017-01-16,AXISBANK,EQ,472.8,472.5,480.5,468.3,477.2,477.25,476.54,7430300,3.54082E+14,91629,3379810,0.4549
2017-01-16,HDFCBANK,EQ,1232.5,1233.5,1249.45,1232.8,1249.4,1247.65,1243.17,941466,1.1704E+14,19324,560059,0.5949
2017-01-17,AXISBANK,EQ,477.25,477.3,488.2,476.95,485.6,487.2,483.42,11331156,5.47766E+14,151267,6934887,0.612
2017-01-17,ICICIBANK,EQ,269.3,269.5,271.5,265.5,267.1,268.4,268.69,6334601,1.70205E+14,58374,2691952,0.425
2017-01-17,HDFCBANK,EQ,1247.65,1247,1252.4,1236.25,1238,1238.5,1240.11,889903,1.10358E+14,11938,645873,0.7258
2017-01-18,ICICIBANK,EQ,268.4,267.4,272.1,266.75,268,268.45,269.57,9168733,2.47158E+14,57324,4383161,0.4781
2017-01-18,AXISBANK,EQ,487.2,487.15,491.7,483.25,487,488.5,487.69,8789347,4.28651E+14,110773,4969540,0.5654
2017-01-18,HDFCBANK,EQ,1238.5,1240.9,1256,1240.85,1245,1242.6,1245.98,1153222,1.43689E+14,13935,830700,0.7203
2017-01-19,ICICIBANK,EQ,268.45,268.8,270.7,266.2,270,269.7,269.03,7823352,2.10471E+14,65190,4084624,0.5221
2017-01-19,AXISBANK,EQ,488.5,486.7,487.9,479.3,480.7,483.8,483.72,7688347,3.71904E+14,116459,3365494,0.4377
2017-01-19,HDFCBANK,EQ,1242.6,1244.9,1244.9,1235,1236,1236.3,1238.18,878103,1.08725E+14,17737,668532,0.7613
2017-01-20,AXISBANK,EQ,483.8,458,461.4,448,448.7,450.75,455,30189779,1.37364E+15,356406,15072926,0.4993
2017-01-20,ICICIBANK,EQ,269.7,267,267.95,262.55,262.85,263.45,264.59,11097327,2.93621E+14,71291,5809642,0.5235
2017-01-20,HDFCBANK,EQ,1236.3,1236,1245,1230,1236,1236.35,1236.63,3485517,4.3103E+14,22849,1131929,0.3248
2017-01-23,ICICIBANK,EQ,263.45,261.8,261.8,255.15,257.35,257.55,257.23,39812153,1.02407E+15,90101,21413622,0.5379
2017-01-23,AXISBANK,EQ,450.75,445.25,448.95,441.1,445,445,444.75,16502895,7.33974E+14,146987,10565074,0.6402
2017-01-23,HDFCBANK,EQ,1236.35,1236,1250,1235.8,1247.9,1244.65,1243.28,1198462,1.49002E+14,16822,775795,0.6473
2017-01-24,ICICIBANK,EQ,257.55,258.55,258.55,255.65,257.65,257.15,257.56,24109134,6.2096E+14,75856,15025798,0.6232
2017-01-24,AXISBANK,EQ,445,447.8,452.55,445.3,452,451.25,449,7103963,3.18965E+14,128370,4197478,0.5909
2017-01-24,HDFCBANK,EQ,1244.65,1250,1271.5,1249.25,1269.8,1267.55,1259.62,2565466,3.23152E+14,42319,1317429,0.5135
2017-01-25,ICICIBANK,EQ,257.15,259,260.8,255.6,260.5,259.95,258.28,37343712,9.64524E+14,107406,24181771,0.6475
2017-01-25,AXISBANK,EQ,451.25,452,465.1,452,464.4,463.55,460.92,14328065,6.60412E+14,189669,8509281,0.5939
2017-01-25,HDFCBANK,EQ,1267.55,1272.6,1295.6,1270.1,1285,1290.6,1283.33,3909246,5.01685E+14,43213,2729465,0.6982
2017-01-27,ICICIBANK,EQ,259.95,263.05,274,260.7,271.8,272,266.23,81303314,2.16452E+15,170567,41436690,0.5097
2017-01-27,AXISBANK,EQ,463.55,465.25,478.85,465.25,472,472.85,474.24,8821164,4.18337E+14,135755,5097039,0.5778
2017-01-27,HDFCBANK,EQ,1290.6,1299,1300,1288,1292.25,1291.9,1294.12,1713059,2.2169E+14,44456,1236374,0.7217
2017-01-30,ICICIBANK,EQ,272,273,275.6,269.7,271.5,270.8,272.31,15488611,4.21773E+14,88281,7547907,0.4873
2017-01-30,AXISBANK,EQ,472.85,472,476.6,470.85,471.45,471.9,473.44,4525720,2.14265E+14,70528,2653495,0.5863
2017-01-30,HDFCBANK,EQ,1291.9,1292.95,1292.95,1280.55,1283,1284.95,1284.17,1329907,1.70783E+14,29492,921282,0.6927
2017-01-31,ICICIBANK,EQ,270.8,268.8,274,266.45,268.05,268.95,269.55,18668332,5.03209E+14,112432,8364534,0.4481
2017-01-31,AXISBANK,EQ,471.9,472,472,464.3,466,466,466.74,10629001,4.96102E+14,106673,8600223,0.8091
2017-01-31,HDFCBANK,EQ,1284.95,1282.4,1292.7,1277,1284,1286.65,1286.42,1525260,1.96212E+14,31674,1119635,0.7341
2017-02-01,ICICIBANK,EQ,268.95,265.85,283.5,262.8,281.35,281,274.98,40588493,1.11609E+15,219534,17320544,0.4267
2017-02-01,AXISBANK,EQ,466,467.75,479.9,460,475.8,475.65,471.68,8340303,3.93394E+14,100129,4571977,0.5482
2017-02-01,HDFCBANK,EQ,1286.65,1286.2,1310,1280.5,1307.05,1305.7,1296.22,2727666,3.53565E+14,35707,1732314,0.6351
2017-02-02,ICICIBANK,EQ,281,282,287.5,280.55,283.55,285.8,285.14,26282657,7.49436E+14,154242,14135824,0.5378
2017-02-02,AXISBANK,EQ,475.65,476.25,486,473.35,483,482.55,482.87,7557596,3.64931E+14,103188,4066127,0.538
2017-02-02,HDFCBANK,EQ,1305.7,1305.7,1305.7,1292.6,1299.9,1298.7,1297.53,1492909,1.9371E+14,41213,960795,0.6436
2017-02-03,ICICIBANK,EQ,285.8,284.95,284.95,278.8,281.75,281.55,281.43,18235397,5.13198E+14,141574,9576049,0.5251
2017-02-03,AXISBANK,EQ,482.55,483.7,492.5,480.15,489.9,490.7,487.58,7134563,3.47868E+14,77751,3474987,0.4871
2017-02-03,HDFCBANK,EQ,1298.7,1299,1316,1296.5,1308.25,1311.05,1307.93,2001276,2.61753E+14,34216,1177119,0.5882
2017-02-06,ICICIBANK,EQ,281.55,283.55,292.25,283.55,290.3,290.3,289.55,20474479,5.92847E+14,121397,9595696,0.4687
2017-02-06,AXISBANK,EQ,490.7,494.75,500.2,492,499,498.3,496.6,8575116,4.25837E+14,79040,5473532,0.6383
2017-02-06,HDFCBANK,EQ,1311.05,1312.3,1320,1311.45,1313.75,1314.1,1315.54,1077555,1.41757E+14,27295,663293,0.6156
2017-02-07,ICICIBANK,EQ,290.3,288,292.7,285.3,287.95,288.1,289.21,11663002,3.37303E+14,73488,5119040,0.4389
2017-02-07,AXISBANK,EQ,498.3,498.4,499.7,490.6,491.45,493.4,495.04,5242366,2.59516E+14,67926,2362038,0.4506
2017-02-07,HDFCBANK,EQ,1314.1,1316,1318,1302.95,1307,1307.15,1308.36,852980,1.116E+14,10789,548839,0.6434
2017-02-08,ICICIBANK,EQ,288.1,288,288.5,282.7,286.8,285.8,286.05,15148162,4.3332E+14,98284,7285628,0.481
2017-02-08,AXISBANK,EQ,493.4,492.4,492.7,481.85,488.75,487.6,486.5,9694192,4.71622E+14,119025,5749613,0.5931
2017-02-08,HDFCBANK,EQ,1307.15,1307.55,1318.7,1298.15,1313.4,1305.65,1308.54,1235240,1.61636E+14,18441,772127,0.6251
2017-02-09,ICICIBANK,EQ,285.8,286.6,288.75,278.6,284.9,285,283.66,15119258,4.28876E+14,129726,6932399,0.4585
2017-02-09,AXISBANK,EQ,487.6,491,494.55,482.95,486.55,485.25,488.05,7938519,3.87438E+14,82218,4695940,0.5915
2017-02-09,HDFCBANK,EQ,1305.65,1309.4,1319.9,1292.55,1299.7,1297.65,1300.43,1116344,1.45172E+14,16802,697108,0.6245
2017-02-10,ICICIBANK,EQ,285,285.6,286.15,280.1,281.95,281.6,283.08,15246747,4.31604E+14,83526,10019486,0.6572
2017-02-10,AXISBANK,EQ,485.25,489.75,492.5,486.2,488.75,488.9,489.07,10345868,5.05988E+14,103877,7925879,0.7661
2017-02-10,HDFCBANK,EQ,1297.65,1298.35,1308.75,1298,1306.95,1303.6,1303.18,824184,1.07406E+14,18728,519927,0.6308
2017-02-13,ICICIBANK,EQ,281.6,282.5,284.1,279.55,281.15,281.65,282,11949486,3.3697E+14,79087,6323147,0.5292
2017-02-13,AXISBANK,EQ,488.9,492.7,493.85,486.75,490.95,490.3,490.37,6626404,3.24937E+14,101009,3730306,0.5629
2017-02-13,HDFCBANK,EQ,1303.6,1307.55,1315,1299.2,1311.25,1310.2,1308.2,698948,9.14364E+13,13107,354175,0.5067
2017-02-14,ICICIBANK,EQ,281.65,283,285.9,281.3,285.05,284.65,283.25,11717450,3.31894E+14,105161,6823472,0.5823
2017-02-14,AXISBANK,EQ,490.3,490.3,491.45,482.1,486.3,486.9,485.87,4089031,1.98674E+14,60672,2169324,0.5305
2017-02-14,HDFCBANK,EQ,1310.2,1314,1314,1304,1312.25,1311.1,1310.53,611515,8.01407E+13,11044,388475,0.6353
2017-02-15,ICICIBANK,EQ,284.65,285.2,286.4,278.6,280.95,280.75,281.59,13109769,3.69154E+14,59772,6902289,0.5265
2017-02-15,AXISBANK,EQ,486.9,488,493.45,483.8,489,488.2,488.31,6242589,3.0483E+14,87387,3441356,0.5513
2017-02-15,HDFCBANK,EQ,1311.1,1312,1324,1307.45,1320.1,1322.2,1319.18,1531735,2.02063E+14,30033,860763,0.562
2017-02-16,ICICIBANK,EQ,280.75,281.3,281.45,272.85,279,278.8,277.74,18416223,5.11497E+14,166904,9944570,0.54
2017-02-16,AXISBANK,EQ,488.2,487.7,494.35,486.55,493.2,493.15,490.87,5218900,2.56178E+14,71174,2937519,0.5629
2017-02-16,HDFCBANK,EQ,1322.2,1323,1333,1320.25,1328.25,1327.9,1327.69,1260925,1.67412E+14,32225,786097,0.6234
2017-02-17,HDFCBANK,EQ,1327.9,1445,1454,1360.45,1375,1377.05,1418.39,100564990,1.43E+16,547304,66696831,0.6632
2017-02-17,ICICIBANK,EQ,278.8,279.7,286.1,275.85,284.6,283,281.47,25905766,7.29171E+14,124459,15013785,0.5796
